source_row,participant_real_id,participant_prezis_id,participant_real,participant_prezis,metoda,distanta_predictie,corect
32,91230d39,91230d39,Participant 9,Participant 9,explorare_larga,0.8646669925596311,1
33,91230d39,05411873,Participant 9,Participant 4,explorare_larga,0.6248623150344879,0
34,36589e44,61db42a9,Participant 10,Participant 1,explorare_larga,1.0461002794977945,0
35,36589e44,36589e44,Participant 10,Participant 10,explorare_larga,1.508501119497787,1
36,36589e44,410567f0,Participant 10,Participant 11,explorare_larga,0.8927430123381722,0
37,36589e44,36589e44,Participant 10,Participant 10,explorare_larga,0.4614901639537699,1
38,410567f0,95032692,Participant 11,Participant 2,explorare_larga,0.9877532464752353,0
39,410567f0,95032692,Participant 11,Participant 2,explorare_larga,1.3995467846892917,0
40,410567f0,61db42a9,Participant 11,Participant 1,explorare_larga,0.6143908562249347,0
41,410567f0,36589e44,Participant 11,Participant 10,explorare_larga,1.5590454560047329,0
0,61db42a9,c0419fea,Participant 1,Participant 6,focus_pe_tinta,0.796302672481199,0
1,61db42a9,36589e44,Participant 1,Participant 10,focus_pe_tinta,0.6760915957595344,0
2,95032692,410567f0,Participant 2,Participant 11,focus_pe_tinta,0.9034663017620516,0
3,95032692,05411873,Participant 2,Participant 4,focus_pe_tinta,0.9978847273936589,0
6,2ec86210,95032692,Participant 3,Participant 2,focus_pe_tinta,1.6768608233497078,0
7,2ec86210,2ec86210,Participant 3,Participant 3,focus_pe_tinta,2.303032567092197,1
8,2ec86210,2ec86210,Participant 3,Participant 3,focus_pe_tinta,1.57294079242917,1
9,2ec86210,2ec86210,Participant 3,Participant 3,focus_pe_tinta,1.0466988266326835,1
10,05411873,36589e44,Participant 4,Participant 10,focus_pe_tinta,0.8069993195545289,0
11,05411873,2699d4a1,Participant 4,Participant 7,focus_pe_tinta,0.17116843780990826,0
12,05411873,05411873,Participant 4,Participant 4,focus_pe_tinta,1.5739127249861715,1
13,05411873,95032692,Participant 4,Participant 2,focus_pe_tinta,0.6990484978180036,0
14,115b6a40,05411873,Participant 5,Participant 4,focus_pe_tinta,0.873168155494374,0
15,115b6a40,91230d39,Participant 5,Participant 9,focus_pe_tinta,1.58101328836879,0
16,115b6a40,36589e44,Participant 5,Participant 10,focus_pe_tinta,0.3930875420754897,0
17,115b6a40,115b6a40,Participant 5,Participant 5,focus_pe_tinta,0.7682637159687077,1
18,c0419fea,115b6a40,Participant 6,Participant 5,focus_pe_tinta,1.774390186324255,0
19,c0419fea,2ec86210,Participant 6,Participant 3,focus_pe_tinta,2.0284411443335846,0
20,c0419fea,61db42a9,Participant 6,Participant 1,focus_pe_tinta,0.7760748911332925,0
21,c0419fea,91230d39,Participant 6,Participant 9,focus_pe_tinta,1.0393176131961912,0
22,2699d4a1,115b6a40,Participant 7,Participant 5,focus_pe_tinta,1.49681840172348,0
23,2699d4a1,05411873,Participant 7,Participant 4,focus_pe_tinta,0.7296491646401935,0
24,2699d4a1,91230d39,Participant 7,Participant 9,focus_pe_tinta,1.6111594798921658,0
25,2699d4a1,61db42a9,Participant 7,Participant 1,focus_pe_tinta,0.5940790549629205,0
26,b4f7a1df,410567f0,Participant 8,Participant 11,focus_pe_tinta,1.198853103167365,0
27,b4f7a1df,61db42a9,Participant 8,Participant 1,focus_pe_tinta,0.4519522411862724,0
28,b4f7a1df,05411873,Participant 8,Participant 4,focus_pe_tinta,0.7229662905246207,0
29,b4f7a1df,05411873,Participant 8,Participant 4,focus_pe_tinta,0.4946921169273233,0
30,91230d39,2699d4a1,Participant 9,Participant 7,focus_pe_tinta,0.9081624347729584,0
31,91230d39,115b6a40,Participant 9,Participant 5,focus_pe_tinta,1.441867596916015,0
32,91230d39,91230d39,Participant 9,Participant 9,focus_pe_tinta,2.7384144481266817,1
33,91230d39,2699d4a1,Participant 9,Participant 7,focus_pe_tinta,0.8931300105690325,0
34,36589e44,05411873,Participant 10,Participant 4,focus_pe_tinta,0.6311623545217376,0
35,36589e44,95032692,Participant 10,Participant 2,focus_pe_tinta,0.879679493557403,0
36,36589e44,95032692,Participant 10,Participant 2,focus_pe_tinta,1.1328582688853548,0
37,36589e44,36589e44,Participant 10,Participant 10,focus_pe_tinta,0.5251886811523031,1
38,410567f0,95032692,Participant 11,Participant 2,focus_pe_tinta,0.5444792695326326,0
39,410567f0,410567f0,Participant 11,Participant 11,focus_pe_tinta,1.7765568137077605,1
40,410567f0,36589e44,Participant 11,Participant 10,focus_pe_tinta,0.21305881014659397,0
41,410567f0,2ec86210,Participant 11,Participant 3,focus_pe_tinta,2.3495132232330778,0
0,61db42a9,c0419fea,Participant 1,Participant 6,ritm_vizual,0.973383698640201,0
1,61db42a9,410567f0,Participant 1,Participant 11,ritm_vizual,0.4276287035498869,0
2,95032692,b4f7a1df,Participant 2,Participant 8,ritm_vizual,2.452060492951337,0
3,95032692,2699d4a1,Participant 2,Participant 7,ritm_vizual,0.9710652460799263,0
6,2ec86210,2ec86210,Participant 3,Participant 3,ritm_vizual,1.6829453611775282,1
7,2ec86210,2ec86210,Participant 3,Participant 3,ritm_vizual,1.590748234324281,1
8,2ec86210,2ec86210,Participant 3,Participant 3,ritm_vizual,1.9020574940318202,1
9,2ec86210,2699d4a1,Participant 3,Participant 7,ritm_vizual,0.5417047232319804,0
10,05411873,91230d39,Participant 4,Participant 9,ritm_vizual,0.2618034929829909,0
11,05411873,c0419fea,Participant 4,Participant 6,ritm_vizual,0.3390636824518223,0
12,05411873,2ec86210,Participant 4,Participant 3,ritm_vizual,1.3784403939639487,0
13,05411873,c0419fea,Participant 4,Participant 6,ritm_vizual,0.1438226719128574,0
14,115b6a40,c0419fea,Participant 5,Participant 6,ritm_vizual,0.31149274690841217,0
15,115b6a40,115b6a40,Participant 5,Participant 5,ritm_vizual,1.065333431908428,1
16,115b6a40,410567f0,Participant 5,Participant 11,ritm_vizual,0.9241049300290649,0
17,115b6a40,115b6a40,Participant 5,Participant 5,ritm_vizual,1.2497188683982547,1
18,c0419fea,91230d39,Participant 6,Participant 9,ritm_vizual,0.8463934871425804,0
19,c0419fea,61db42a9,Participant 6,Participant 1,ritm_vizual,1.1637681094527972,0
20,c0419fea,b4f7a1df,Participant 6,Participant 8,ritm_vizual,0.5118511541139823,0
21,c0419fea,05411873,Participant 6,Participant 4,ritm_vizual,0.31518359937735235,0
22,2699d4a1,05411873,Participant 7,Participant 4,ritm_vizual,1.310765156294923,0
23,2699d4a1,61db42a9,Participant 7,Participant 1,ritm_vizual,0.9066148007330036,0
24,2699d4a1,91230d39,Participant 7,Participant 9,ritm_vizual,0.3243427925268704,0
25,2699d4a1,05411873,Participant 7,Participant 4,ritm_vizual,0.19351052691584633,0
26,b4f7a1df,c0419fea,Participant 8,Participant 6,ritm_vizual,0.26375487409023224,0
